"","TRANSECT","YEAR","sumcov","totcov","CYear","sc_year","prop_forbs"
"1","L_1",1996,12,36,"1996",0,0.333333333333333
"2","L_1",1997,8,34,"1997",1,0.235294117647059
"3","L_1",1998,11,29,"1998",2,0.379310344827586
"4","L_1",1999,23,55,"1999",3,0.418181818181818
"5","L_1",2000,13,47,"2000",4,0.276595744680851
"6","L_1",2022,10,51,"2022",26,0.196078431372549
"7","L_10",1996,15,39,"1996",0,0.384615384615385
"8","L_10",1997,5,25,"1997",1,0.2
"9","L_10",1998,9,41,"1998",2,0.219512195121951
"10","L_10",1999,9,28,"1999",3,0.321428571428571
"11","L_10",2000,10,44,"2000",4,0.227272727272727
"12","L_10",2022,15,49,"2022",26,0.306122448979592
"13","L_13",1996,20,39,"1996",0,0.512820512820513
"14","L_13",1997,19,47,"1997",1,0.404255319148936
"15","L_13",1998,10,40,"1998",2,0.25
"16","L_13",1999,10,43,"1999",3,0.232558139534884
"17","L_13",2000,6,41,"2000",4,0.146341463414634
"18","L_13",2022,1,36,"2022",26,0.0277777777777778
"19","L_14",1996,10,46,"1996",0,0.217391304347826
"20","L_14",1997,11,47,"1997",1,0.234042553191489
"21","L_14",1998,15,53,"1998",2,0.283018867924528
"22","L_14",1999,3,32,"1999",3,0.09375
"23","L_14",2000,3,41,"2000",4,0.0731707317073171
"24","L_14",2022,5,32,"2022",26,0.15625
"25","L_15",1996,10,37,"1996",0,0.27027027027027
"26","L_15",1997,16,57,"1997",1,0.280701754385965
"27","L_15",1998,7,38,"1998",2,0.184210526315789
"28","L_15",1999,1,41,"1999",3,0.024390243902439
"29","L_15",2000,0,52,"2000",4,0
"30","L_15",2022,8,49,"2022",26,0.163265306122449
"31","L_16",1996,14,43,"1996",0,0.325581395348837
"32","L_16",1997,5,40,"1997",1,0.125
"33","L_16",1998,6,38,"1998",2,0.157894736842105
"34","L_16",1999,0,47,"1999",3,0
"35","L_16",2000,0,43,"2000",4,0
"36","L_16",2022,12,45,"2022",26,0.266666666666667
"37","L_17",1996,9,38,"1996",0,0.236842105263158
"38","L_17",1997,14,46,"1997",1,0.304347826086957
"39","L_17",1998,15,49,"1998",2,0.306122448979592
"40","L_17",1999,9,41,"1999",3,0.219512195121951
"41","L_17",2000,2,45,"2000",4,0.0444444444444444
"42","L_17",2022,6,44,"2022",26,0.136363636363636
"43","L_18",1996,5,40,"1996",0,0.125
"44","L_18",1997,4,42,"1997",1,0.0952380952380952
"45","L_18",1998,0,36,"1998",2,0
"46","L_18",1999,1,44,"1999",3,0.0227272727272727
"47","L_18",2000,0,41,"2000",4,0
"48","L_18",2022,5,45,"2022",26,0.111111111111111
"49","L_19",1996,13,39,"1996",0,0.333333333333333
"50","L_19",1997,3,53,"1997",1,0.0566037735849057
"51","L_19",1998,1,48,"1998",2,0.0208333333333333
"52","L_19",1999,0,40,"1999",3,0
"53","L_19",2000,1,36,"2000",4,0.0277777777777778
"54","L_19",2022,8,39,"2022",26,0.205128205128205
"55","L_2",1996,7,26,"1996",0,0.269230769230769
"56","L_2",1997,12,46,"1997",1,0.260869565217391
"57","L_2",1998,11,40,"1998",2,0.275
"58","L_2",1999,19,44,"1999",3,0.431818181818182
"59","L_2",2000,9,51,"2000",4,0.176470588235294
"60","L_2",2022,6,38,"2022",26,0.157894736842105
"61","L_20",1996,5,29,"1996",0,0.172413793103448
"62","L_20",1997,8,40,"1997",1,0.2
"63","L_20",1998,8,37,"1998",2,0.216216216216216
"64","L_20",1999,2,35,"1999",3,0.0571428571428571
"65","L_20",2000,2,45,"2000",4,0.0444444444444444
"66","L_20",2022,1,32,"2022",26,0.03125
"67","L_21",1996,14,32,"1996",0,0.4375
"68","L_21",1997,19,41,"1997",1,0.463414634146341
"69","L_21",1998,17,33,"1998",2,0.515151515151515
"70","L_21",1999,6,35,"1999",3,0.171428571428571
"71","L_21",2000,2,33,"2000",4,0.0606060606060606
"72","L_21",2022,6,39,"2022",26,0.153846153846154
"73","L_22",1996,20,40,"1996",0,0.5
"74","L_22",1997,21,47,"1997",1,0.446808510638298
"75","L_22",1998,18,40,"1998",2,0.45
"76","L_22",1999,1,34,"1999",3,0.0294117647058824
"77","L_22",2000,8,38,"2000",4,0.210526315789474
"78","L_22",2022,3,44,"2022",26,0.0681818181818182
"79","L_23",1996,7,35,"1996",0,0.2
"80","L_23",1997,12,54,"1997",1,0.222222222222222
"81","L_23",1998,15,35,"1998",2,0.428571428571429
"82","L_23",1999,5,33,"1999",3,0.151515151515152
"83","L_23",2000,4,49,"2000",4,0.0816326530612245
"84","L_23",2022,1,36,"2022",26,0.0277777777777778
"85","L_24",1996,11,44,"1996",0,0.25
"86","L_24",1997,9,39,"1997",1,0.230769230769231
"87","L_24",1998,12,50,"1998",2,0.24
"88","L_24",1999,6,39,"1999",3,0.153846153846154
"89","L_24",2000,4,44,"2000",4,0.0909090909090909
"90","L_24",2022,5,54,"2022",26,0.0925925925925926
"91","L_3",1996,16,36,"1996",0,0.444444444444444
"92","L_3",1997,5,28,"1997",1,0.178571428571429
"93","L_3",1998,5,39,"1998",2,0.128205128205128
"94","L_3",1999,16,43,"1999",3,0.372093023255814
"95","L_3",2000,15,41,"2000",4,0.365853658536585
"96","L_3",2022,4,43,"2022",26,0.0930232558139535
"97","L_4",1996,8,46,"1996",0,0.173913043478261
"98","L_4",1997,12,48,"1997",1,0.25
"99","L_4",1998,8,43,"1998",2,0.186046511627907
"100","L_4",1999,17,44,"1999",3,0.386363636363636
"101","L_4",2000,4,31,"2000",4,0.129032258064516
"102","L_4",2022,8,39,"2022",26,0.205128205128205
"103","L_5",1996,11,39,"1996",0,0.282051282051282
"104","L_5",1997,15,44,"1997",1,0.340909090909091
"105","L_5",1998,11,44,"1998",2,0.25
"106","L_5",1999,13,42,"1999",3,0.30952380952381
"107","L_5",2000,17,53,"2000",4,0.320754716981132
"108","L_5",2022,21,53,"2022",26,0.39622641509434
"109","L_6",1996,0,0,"1996",0,NA
"110","L_6",1997,11,38,"1997",1,0.289473684210526
"111","L_6",1998,11,27,"1998",2,0.407407407407407
"112","L_6",1999,5,30,"1999",3,0.166666666666667
"113","L_6",2000,1,31,"2000",4,0.032258064516129
"114","L_6",2022,9,50,"2022",26,0.18
"115","L_7",1996,0,0,"1996",0,NA
"116","L_7",1997,20,58,"1997",1,0.344827586206897
"117","L_7",1998,19,40,"1998",2,0.475
"118","L_7",1999,13,40,"1999",3,0.325
"119","L_7",2000,15,37,"2000",4,0.405405405405405
"120","L_7",2022,25,49,"2022",26,0.510204081632653
"121","L_8",1996,10,49,"1996",0,0.204081632653061
"122","L_8",1997,15,37,"1997",1,0.405405405405405
"123","L_8",1998,9,36,"1998",2,0.25
"124","L_8",1999,13,34,"1999",3,0.382352941176471
"125","L_8",2000,9,38,"2000",4,0.236842105263158
"126","L_8",2022,7,52,"2022",26,0.134615384615385
"127","L_9",1996,15,37,"1996",0,0.405405405405405
"128","L_9",1997,13,30,"1997",1,0.433333333333333
"129","L_9",1998,15,31,"1998",2,0.483870967741935
"130","L_9",1999,15,45,"1999",3,0.333333333333333
"131","L_9",2000,10,40,"2000",4,0.25
"132","L_9",2022,7,54,"2022",26,0.12962962962963
